ID,Genre
1211,fantasy metal
1212,melodic thrash
1213,mississippi hip hop
1214,german singer-songwriter
1215,lo-fi emo
1216,cumbia ranchera
1217,future house
1218,anthem worship
1219,australian metalcore
1220,thai indie rock
1221,dembow dominicano
1222,icelandic indie
1223,dark synthpop
1224,upstate ny rap
1225,acoustic opm
1226,australian country
1227,venezuelan rock
1228,scream rap
1229,morelos indie
1230,bboy
1231,noise rock
1232,narco rap
1233,sholawat
1234,manchester hip hop
1235,future bass
1236,organic electronic
1237,pop nacional antigas
1238,instrumental funk
1239,k-indie
1240,cumbia sonorense
1241,carnaval
1242,digital hardcore
1243,dutch indie
1244,garage rock revival
1245,indie liguria
1246,christmas instrumental
1247,ghanaian hip hop
1248,trap venezolano
1249,traphall
1250,belgian dance
1251,swedish melodeath
1252,kirtan
1253,qawwali
1254,cancion infantil latinoamericana
1255,polish classical
1256,reggae en espanol
1257,detroit trap brasileiro
1258,psychedelic soul
1259,kizomba
1260,nerdcore brasileiro
1261,canzone napoletana
1262,neue neue deutsche welle
1263,chinese r&b
1264,thai hip hop
1265,uptempo hardcore
1266,indian folk
1267,modern reggae
1268,happy hardcore
1269,musica tradicional cubana
1270,solo wave
1271,canadian soundtrack
1272,classic sierreno
1273,egyptian trap
1274,classic praise
1275,asian american hip hop
1276,swedish pop rap
1277,turkish psych
1278,veracruz indie
1279,icelandic rock
1280,finnish power metal
1281,indonesian reggae
1282,bubble trance
1283,acoustic guitar cover
1284,pop virale italiano
1285,rai
1286,danish rock
1287,liquid funk
1288,turkish jazz
1289,tontipop
1290,dansband
1291,pianissimo
1292,kayokyoku
1293,singaporean mandopop
1294,bronx hip hop
1295,jazz trio
1296,japanese punk rock
1297,dark clubbing
1298,electro-pop francais
1299,egyptian hip hop
1300,french shoegaze
1301,drill italiana
1302,aggressive phonk
1303,uk dnb
1304,progressive metalcore
1305,french romanticism
1306,neo r&b
1307,german house
1308,electropowerpop
1309,japanese alternative pop
1310,vegas indie
1311,austindie
1312,uk reggae
1313,healing
1314,musica triste brasileira
1315,samba-enredo
1316,afro soul
1317,jovem guarda
1318,gujarati garba
