VST3i: Surge XT (Surge Synth Team) (2->6ch)

ID,Name,Value Current,Value Middle,Value Min,Value Max,Context Current,Context Middle,Context Min,Context Max
310,A Ring Modulation 2x3 Solo,00.00,00.50,00.00,01.00,Off,Off,Off,On
311,A Ring Modulation 2x3 Route,00.50,00.50,00.00,01.00,Both,Both,Filter 1,Filter 2
312,A Noise Level,01.00,00.50,00.00,01.00,0.00 dB,-18.00 dB,-inf dB,0.00 dB
313,A Noise Mute,01.00,00.50,00.00,01.00,On,Off,Off,On
314,A Noise Solo,00.00,00.50,00.00,01.00,Off,Off,Off,On
315,A Noise Route,00.50,00.50,00.00,01.00,Both,Both,Filter 1,Filter 2
316,A Pre-Filter Gain,00.50,00.50,00.00,01.00,0.00 dB,0.00 dB,-48.00 dB,48.00 dB
317,A Filter 1 Type,00.00,00.50,00.00,01.00,Off,HP Cutoff Warp,Off,MULTI Tri-pole
318,A Filter 1 Subtype,00.00,00.50,00.00,01.00,None,None,None,None
319,A Filter 1 Cutoff,00.48,00.50,00.00,01.00,523.25 Hz,587.33 Hz,13.75 Hz,25087.71 Hz
320,A Filter 1 Resonance,00.00,00.50,00.00,01.00,0.00 %,50.00 %,0.00 %,100.00 %
321,A Filter 1 FEG Mod Amount,00.50,00.50,00.00,01.00,0.00 semitones,0.00 semitones,-96.00 semitones,96.00 semitones
322,A Filter 1 Keytrack,00.50,00.50,00.00,01.00,0.00 %,0.00 %,-100.00 %,100.00 %
323,A Filter 2 Type,00.00,00.50,00.00,01.00,Off,HP Cutoff Warp,Off,MULTI Tri-pole
324,A Filter 2 Subtype,00.00,00.50,00.00,01.00,None,None,None,None
325,A Filter 2 Cutoff,00.48,00.50,00.00,01.00,523.25 Hz,587.33 Hz,13.75 Hz,25087.71 Hz
